stimulus,memorability,scaled_memory_hits,score_emotional,sd_emotional,score_humanmade,sd_humanmade,score_outdoors,sd_outdoors,score_shoebox,sd_shoebox,humanmade_pass,outdoors_pass,shoebox_pass,humanmade_response,outdoors_response,shoebox_response,scaled_emotional,h_index,modal_response,proportion_response,unique,scaled_name,dist,assignedName
Sign_Caution.jpg,0.032628169,0.609044076,0.138151981,1.268962426,1,0,0.714285714,0.487950036,0.166666667,0.40824829,1,0,1,human-made,NA,larger than a shoebox,0.650085763,2.020920607,sign,0.538461538,0,0.395082905,0.20446561307955147,5_185.jpg
Bird_Toucan.jpg,0.068414819,0.736691471,0.847011566,0.899924461,0.111111111,0.333333333,0.833333333,0.40824829,0.714285714,0.487950036,1,1,0,natural,outdoors,NA,0.913093196,2.278351812,toucan,0.470588235,1,0.303602058,0.20519836074205489,5_21.jpg
Noisemaker.jpg,-0.11602497,0.128792215,1.351187337,2.87712144,1,0,0.555555556,0.527046277,1,0,1,0,1,human-made,NA,smaller than a shoebox,0.974842767,2.46793603,party favor,0.458333333,1,0.245854774,0.2095089347310115,5_133.jpg
Syrup_Maple.jpg,0.072588376,0.750429307,0.281135152,1.186584292,0.888888889,0.333333333,0.111111111,0.333333333,0.875,0.353553391,1,1,1,human-made,indoors,smaller than a shoebox,0.746140652,1.315824334,syrup,0.615384615,1,0.649514008,0.21375671165362742,5_118.jpg
PickupTruck.jpg,-0.065092743,0.240412135,0.528483074,1.239652211,1,0,1,0,0,0,1,1,1,human-made,outdoors,larger than a shoebox,0.838765009,0.882859773,truck,0.838709677,0,0.797026872,0.2152835414675318,5_99.jpg
Mask_Happy.jpg,0.042783481,0.649685175,0.189637257,0.845985267,1,0,0.25,0.46291005,0.857142857,0.377964473,1,0,1,human-made,NA,smaller than a shoebox,0.684391081,0.885067287,mask,0.852941176,0,0.795883362,0.21874826877439046,5_76.jpg
Cassette_Video.jpg,0.004933134,0.492272467,-0.130008473,0.733493942,1,0,0,0,0.875,0.353553391,1,1,1,human-made,indoors,smaller than a shoebox,0.48542024,2.536414237,vhs tape,0.307692308,1,0.222412807,0.21978270508379083,5_6.jpg
Scissors.jpg,0.018631762,0.55409273,-0.119421121,0.669097765,1,0,0,0,0.875,0.353553391,1,1,1,human-made,indoors,smaller than a shoebox,0.493996569,0.187176257,scissors,0.971428571,1,0.985134362,0.2234460273646537,5_42.jpg
Kneepad.jpg,-0.09329369,0.167143675,-0.457193891,0.583576318,1,0,0.625,0.51754917,0.857142857,0.377964473,1,0,1,human-made,NA,smaller than a shoebox,0.216695254,2.154783142,knee pad,0.628571429,1,0.343624929,0.22607623243315889,5_57.jpg
Ball_Football.jpg,0.078791998,0.77790498,-0.393447896,0.250754643,1,0,0.857142857,0.377964473,0.571428571,0.534522484,1,1,0,human-made,outdoors,NA,0.265866209,0.322756959,football,0.941176471,1,0.956546598,0.2302517629203431,5_117.jpg
